pit_id,pit_name,operator_name,month_day,total_volume_ton,average_grade_pct
PIT05,Pit 5,Theodore,01-01,107.15,1.55
PIT07,Pit 7,Benjamin,01-01,113.84,2.54
PIT08,Pit 8,Levi,01-02,92.34,0.99
PIT01,Pit 1,Ezra,01-03,134.81,1.78
PIT03,Pit 3,Henry,01-03,64.09,2.74
PIT04,Pit 4,NULL,01-03,87.61,2.72
PIT08,Pit 8,Mateo,01-04,50.88,0.93
PIT03,Pit 3,Levi,01-05,197.47,2.32
PIT02,Pit 2,Hudson,01-06,92.92,0.99
PIT06,Pit 6,Isaiah,01-06,176.57,1.2
PIT08,Pit 8,Julian,01-06,102.01,1
PIT03,Pit 3,Oliver,01-07,178.45,2.31
PIT04,Pit 4,Benjamin,01-07,37.65,1.97
PIT03,Pit 3,Jack,01-08,37.65,2.37
PIT04,Pit 4,Theodore,01-08,119.95,2.5
PIT06,Pit 6,Jack,01-08,109.48,1.91
PIT07,Pit 7,Isaiah,01-08,207.45,1.01
PIT08,Pit 8,Lucas,01-08,102.68,2.4
PIT01,Pit 1,Mateo,01-09,187.58,2
PIT02,Pit 2,Caleb,01-09,174.83,0.64
PIT04,Pit 4,Levi,01-09,89.46,0.64
PIT05,Pit 5,Logan,01-09,111.66,2.58
PIT01,Pit 1,Theodore,01-10,140.84,1.91
PIT05,Pit 5,Henry,01-10,105.29,0.67
PIT06,Pit 6,Lucas,01-10,214.51,2.33
PIT05,Pit 5,Logan,01-11,38.74,1.55
PIT06,Pit 6,Oliver,01-11,158.99,0.81
PIT01,Pit 1,Asher,01-12,172.12,1.71
PIT04,Pit 4,James,01-12,53.08,2.41
PIT04,Pit 4,Hudson,01-13,34.14,2.38
PIT05,Pit 5,Jack,01-13,159.4,2.21
PIT07,Pit 7,Leo,01-13,51.68,1.87
PIT04,Pit 4,Logan,01-14,207.32,0.95
PIT04,Pit 4,NULL,01-14,193.33,2.33
PIT07,Pit 7,Ryan,01-14,187.94,0.91
PIT08,Pit 8,Noah,01-14,218.88,1.5
PIT01,Pit 1,Ethan,01-15,71.4,2.14
PIT01,Pit 1,Muhammad,01-15,129.55,1.51
PIT08,Pit 8,Ethan,01-15,191.45,1.03
PIT08,Pit 8,Isaiah,01-15,214.29,1.34
PIT03,Pit 3,Asher,01-16,70.55,1.74
PIT05,Pit 5,James,01-16,165.49,2.17
PIT05,Pit 5,Maverick,01-16,39.45,1.67
PIT06,Pit 6,Elijah,01-16,90.79,2.08
PIT06,Pit 6,Julian,01-16,105.52,1.44
PIT07,Pit 7,Ryan,01-16,37.55,1.84
PIT01,Pit 1,Isaiah,01-17,122.85,1.24
PIT02,Pit 2,Jackson,01-17,109.04,1.37
PIT04,Pit 4,Asher,01-17,103.68,0.97
PIT07,Pit 7,Elijah,01-17,41,1.95
PIT08,Pit 8,Julian,01-17,193.82,2.31
PIT05,Pit 5,Bodhi,01-18,121.02,1.52
PIT07,Pit 7,Ezra,01-18,124.5,2.73
PIT07,Pit 7,Maverick,01-18,44.58,1.82
PIT01,Pit 1,NULL,01-19,165.21,2.57
PIT07,Pit 7,Bodhi,01-19,174.32,1.82
PIT02,Pit 2,Julian,01-20,145.03,2.19
PIT02,Pit 2,Luca,01-20,219.71,1.71
PIT04,Pit 4,Caleb,01-20,212.42,1.18
PIT04,Pit 4,Bodhi,01-21,192.13,1.39
PIT06,Pit 6,James,01-21,154.85,1.38
PIT02,Pit 2,Henry,01-22,134.45,2.41
PIT04,Pit 4,Benjamin,01-22,94.47,1.78
PIT04,Pit 4,Leo,01-22,124.03,0.76
PIT08,Pit 8,Ezra,01-22,127.52,2.68
PIT08,Pit 8,Elijah,01-23,47.71,1.7
PIT02,Pit 2,William,01-24,80.35,2.42
PIT06,Pit 6,Muhammad,01-24,89.67,1.59
PIT07,Pit 7,Hudson,01-24,81.96,2.4
PIT07,Pit 7,Logan,01-24,56.6,1.29
PIT08,Pit 8,James,01-24,77.35,2.07
PIT08,Pit 8,Oliver,01-24,66.06,2.01
PIT03,Pit 3,Lucas,01-25,194.74,2.17
PIT04,Pit 4,Jackson,01-25,104.68,2.26
PIT08,Pit 8,Elijah,01-25,85.51,1.86
PIT08,Pit 8,James,01-26,71.63,2.25
PIT02,Pit 2,James,01-27,209.28,0.96
PIT04,Pit 4,Isaiah,01-27,217.18,0.66
PIT05,Pit 5,Elijah,01-27,49.68,2.23
PIT08,Pit 8,Maverick,01-27,162.25,0.61
PIT02,Pit 2,Julian,01-28,141.46,2.49
PIT02,Pit 2,Noah,01-28,202.6,2.34
PIT04,Pit 4,Ethan,01-28,75.01,1.21
PIT01,Pit 1,Henry,01-29,92.43,2.77
PIT01,Pit 1,Noah,01-29,183.25,2.76
PIT02,Pit 2,James,01-29,91.2,1.97
PIT03,Pit 3,Noah,01-29,153.49,2.62
PIT05,Pit 5,Oliver,01-29,40.19,0.86
PIT07,Pit 7,Benjamin,01-29,116.79,1.72
PIT03,Pit 3,Mateo,01-30,138.81,1.57
PIT05,Pit 5,Oliver,01-30,132.15,0.77
PIT02,Pit 2,Lucas,01-31,219.93,1.19
PIT05,Pit 5,Benjamin,01-31,117.52,0.67
PIT06,Pit 6,Bodhi,01-31,215.12,2
PIT06,Pit 6,Logan,01-31,129.32,1.45
PIT07,Pit 7,Isaiah,01-31,55.93,2.03
PIT08,Pit 8,Maverick,01-31,114.72,2.25
